,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_12_Ra,0,0.58654,0.64423,0.14423,0.35577,0.35577,0.24038
nef_12_Ra,1,0.54808,0.65385,0.15385,0.32692,0.32692,0.23077
nef_12_Ra,2,0.66346,0.63462,0.11538,0.30769,0.30769,0.20192
nef_12_Ra,3,0.54369,0.65049,0.14563,0.3301,0.3301,0.19417
nef_12_Ra,4,0.55769,0.65385,0.14423,0.36538,0.375,0.21154
nef_12_Ra,5,0.59615,0.63462,0.10577,0.32692,0.32692,0.18269
nef_12_Ra,6,0.52885,0.70192,0.06731,0.33654,0.33654,0.25962
nef_12_Ra,7,0.58252,0.59223,0.09709,0.29126,0.29126,0.16505
nef_12_Ra,8,0.57692,0.68269,0.07692,0.35577,0.35577,0.21154
nef_12_Ra,9,0.57692,0.60577,0.14423,0.28846,0.28846,0.21154
nef_12_Ra,10,0.56731,0.68269,0.10577,0.375,0.375,0.21154
nef_12_Ra,11,0.57282,0.59223,0.14563,0.29126,0.29126,0.19417
nef_12_Ra,12,0.60577,0.70192,0.04808,0.375,0.375,0.20192
nef_12_Ra,13,0.50962,0.60577,0.13462,0.375,0.375,0.21154
nef_12_Ra,14,0.54808,0.52885,0.16346,0.20192,0.20192,0.10577
nef_12_Ra,15,0.62136,0.64078,0.12621,0.35922,0.34951,0.27184
nef_12_Ra,16,0.58654,0.625,0.08654,0.27885,0.28846,0.18269
nef_12_Ra,17,0.54808,0.65385,0.13462,0.38462,0.38462,0.22115
nef_12_Ra,18,0.625,0.69231,0.19231,0.30769,0.30769,0.23077
nef_12_Ra,19,0.5534,0.64078,0.12621,0.33981,0.33981,0.18447
nef_12_Ra,20,0.53846,0.63462,0.14423,0.31731,0.31731,0.20192
nef_12_Ra,21,0.625,0.67308,0.09615,0.36538,0.375,0.22115
nef_12_Ra,22,0.58654,0.67308,0.11538,0.36538,0.36538,0.24038
nef_12_Ra,23,0.53398,0.65049,0.09709,0.29126,0.29126,0.16505
