,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_05_Ra,0,0.36,0.54667,0.05333,0.2,0.2,0.2
nef_05_Ra,1,0.38667,0.48,0.04,0.26667,0.26667,0.25333
nef_05_Ra,2,0.46667,0.52,0.05333,0.26667,0.25333,0.24
nef_05_Ra,3,0.4,0.48,0.05333,0.25333,0.25333,0.21333
nef_05_Ra,4,0.37333,0.42667,0.05333,0.17333,0.17333,0.21333
nef_05_Ra,5,0.4,0.52,0.06667,0.28,0.28,0.24
nef_05_Ra,6,0.41333,0.46667,0.05333,0.30667,0.30667,0.25333
nef_05_Ra,7,0.38667,0.54667,0.04,0.21333,0.2,0.18667
nef_05_Ra,8,0.45333,0.56,0.01333,0.34667,0.33333,0.29333
nef_05_Ra,9,0.44,0.52,0.13333,0.26667,0.26667,0.22667
nef_05_Ra,10,0.30667,0.44,0.02667,0.18667,0.18667,0.21333
nef_05_Ra,11,0.34667,0.44,0.01333,0.16,0.16,0.17333
nef_05_Ra,12,0.41333,0.42667,0.06667,0.25333,0.25333,0.22667
nef_05_Ra,13,0.41333,0.45333,0.05333,0.28,0.26667,0.26667
nef_05_Ra,14,0.36,0.50667,0.01333,0.17333,0.17333,0.16
nef_05_Ra,15,0.44,0.52,0.06667,0.26667,0.26667,0.25333
nef_05_Ra,16,0.36,0.52,0.01333,0.26667,0.25333,0.28
nef_05_Ra,17,0.45333,0.49333,0.06667,0.25333,0.25333,0.18667
nef_05_Ra,18,0.48,0.53333,0.01333,0.22667,0.22667,0.24
nef_05_Ra,19,0.38667,0.44,0.08,0.22667,0.22667,0.18667
nef_05_Ra,20,0.44,0.49333,0.05333,0.24,0.24,0.26667
nef_05_Ra,21,0.45333,0.53333,0.01333,0.21333,0.21333,0.18667
nef_05_Ra,22,0.44,0.48,0.09333,0.24,0.24,0.21333
nef_05_Ra,23,0.36,0.53333,0.02667,0.28,0.28,0.25333
nef_05_Ra,24,0.44,0.50667,0.04,0.22667,0.22667,0.18667
nef_05_Ra,25,0.42667,0.57333,0.02667,0.30667,0.29333,0.28
nef_05_Ra,26,0.42667,0.50667,0.0,0.21333,0.21333,0.2
nef_05_Ra,27,0.33333,0.4,0.04,0.25333,0.25333,0.21333
nef_05_Ra,28,0.38667,0.49333,0.02667,0.24,0.24,0.21333
nef_05_Ra,29,0.34667,0.46667,0.02667,0.2,0.2,0.17333
nef_05_Ra,30,0.41333,0.46667,0.01333,0.2,0.2,0.18667
nef_05_Ra,31,0.49333,0.53333,0.06667,0.30667,0.30667,0.33333
nef_05_Ra,32,0.46667,0.56,0.04,0.25333,0.25333,0.24
nef_05_Ra,33,0.4,0.54667,0.02667,0.29333,0.29333,0.28
nef_05_Ra,34,0.4,0.52,0.01333,0.24,0.24,0.21333
nef_05_Ra,35,0.32,0.45333,0.05333,0.21333,0.2,0.17333
nef_05_Ra,36,0.44,0.57333,0.06667,0.25333,0.25333,0.24
nef_05_Ra,37,0.41333,0.50667,0.08,0.22667,0.21333,0.21333
nef_05_Ra,38,0.29333,0.42667,0.04,0.2,0.2,0.17333
nef_05_Ra,39,0.41333,0.49333,0.05333,0.30667,0.30667,0.29333
nef_05_Ra,40,0.4,0.45333,0.04,0.21333,0.21333,0.17333
nef_05_Ra,41,0.4,0.49333,0.04,0.29333,0.29333,0.32
nef_05_Ra,42,0.42667,0.58667,0.02667,0.26667,0.28,0.22667
nef_05_Ra,43,0.34667,0.49333,0.02667,0.21333,0.21333,0.17333
nef_05_Ra,44,0.42667,0.46667,0.05333,0.24,0.24,0.2
nef_05_Ra,45,0.46667,0.50667,0.06667,0.25333,0.25333,0.21333
nef_05_Ra,46,0.30667,0.44,0.0,0.25333,0.25333,0.22667
nef_05_Ra,47,0.37333,0.45333,0.01333,0.24,0.24,0.25333
nef_05_Ra,48,0.44,0.49333,0.05333,0.26667,0.26667,0.18667
nef_05_Ra,49,0.44,0.50667,0.06667,0.2,0.21333,0.22667
nef_05_Ra,50,0.32,0.44,0.04,0.25333,0.25333,0.2
nef_05_Ra,51,0.38667,0.50667,0.05333,0.26667,0.26667,0.28
nef_05_Ra,52,0.4,0.46667,0.02667,0.24,0.25333,0.21333
nef_05_Ra,53,0.4,0.44,0.06667,0.32,0.32,0.28
nef_05_Ra,54,0.42667,0.44,0.02667,0.22667,0.22667,0.2
nef_05_Ra,55,0.34667,0.48,0.0,0.18667,0.17333,0.17333
nef_05_Ra,56,0.41333,0.56,0.0,0.25333,0.25333,0.26667
nef_05_Ra,57,0.42667,0.42667,0.02667,0.24,0.24,0.22667
nef_05_Ra,58,0.42667,0.50667,0.05333,0.24,0.24,0.26667
nef_05_Ra,59,0.34667,0.46667,0.04,0.22667,0.21333,0.14667
nef_05_Ra,60,0.42667,0.53333,0.04,0.26667,0.25333,0.24
nef_05_Ra,61,0.41333,0.42667,0.06667,0.2,0.2,0.21333
nef_05_Ra,62,0.44,0.50667,0.02667,0.25333,0.25333,0.25333
nef_05_Ra,63,0.4,0.49333,0.05333,0.26667,0.26667,0.17333
nef_05_Ra,64,0.32,0.45333,0.06667,0.28,0.28,0.22667
nef_05_Ra,65,0.37333,0.46667,0.01333,0.24,0.22667,0.21333
nef_05_Ra,66,0.42667,0.48,0.05333,0.22667,0.22667,0.25333
nef_05_Ra,67,0.44,0.56,0.0,0.25333,0.24,0.2
nef_05_Ra,68,0.32,0.46667,0.06667,0.22667,0.22667,0.16
nef_05_Ra,69,0.44,0.48,0.04,0.25333,0.24,0.28
nef_05_Ra,70,0.48,0.53333,0.08,0.28,0.29333,0.25333
nef_05_Ra,71,0.42667,0.48,0.08,0.21333,0.2,0.2
nef_05_Ra,72,0.44,0.53333,0.06667,0.26667,0.25333,0.22667
nef_05_Ra,73,0.36,0.42667,0.05333,0.21333,0.21333,0.2
nef_05_Ra,74,0.44,0.49333,0.02667,0.25333,0.24,0.26667
nef_05_Ra,75,0.48,0.53333,0.04,0.26667,0.26667,0.22667
nef_05_Ra,76,0.38667,0.46667,0.02667,0.28,0.28,0.22667
nef_05_Ra,77,0.36,0.52,0.02667,0.26667,0.25333,0.26667
nef_05_Ra,78,0.44,0.46667,0.05333,0.22667,0.21333,0.16
nef_05_Ra,79,0.45333,0.50667,0.02667,0.22667,0.22667,0.24
nef_05_Ra,80,0.38667,0.53333,0.06667,0.22667,0.24,0.2
nef_05_Ra,81,0.33333,0.38667,0.04,0.16,0.16,0.17333
nef_05_Ra,82,0.37333,0.52,0.02667,0.32,0.32,0.28
nef_05_Ra,83,0.49333,0.50667,0.02667,0.26667,0.25333,0.28
nef_05_Ra,84,0.4,0.49333,0.05333,0.22667,0.22667,0.25333
nef_05_Ra,85,0.38667,0.49333,0.05333,0.26667,0.26667,0.21333
nef_05_Ra,86,0.38667,0.45333,0.04,0.16,0.17333,0.17333
nef_05_Ra,87,0.42667,0.49333,0.08,0.30667,0.30667,0.25333
nef_05_Ra,88,0.4,0.52,0.04,0.26667,0.25333,0.22667
nef_05_Ra,89,0.44,0.53333,0.02667,0.25333,0.25333,0.24
nef_05_Ra,90,0.32,0.41333,0.04,0.22667,0.22667,0.2
nef_05_Ra,91,0.44,0.48,0.04,0.25333,0.25333,0.22667
nef_05_Ra,92,0.34667,0.53333,0.05333,0.26667,0.26667,0.28
nef_05_Ra,93,0.45333,0.46667,0.02667,0.21333,0.21333,0.18667
nef_05_Ra,94,0.41333,0.45333,0.05333,0.25333,0.25333,0.22667
nef_05_Ra,95,0.42667,0.54667,0.05333,0.26667,0.25333,0.21333
nef_05_Ra,96,0.38667,0.42667,0.05333,0.18667,0.18667,0.21333
nef_05_Ra,97,0.38667,0.52,0.04,0.25333,0.25333,0.22667
nef_05_Ra,98,0.41333,0.53333,0.08,0.29333,0.29333,0.24
nef_05_Ra,99,0.41333,0.46667,0.02667,0.21333,0.2,0.21333
nef_05_Ra,100,0.44,0.46667,0.02667,0.22667,0.22667,0.2
nef_05_Ra,101,0.4,0.49333,0.05333,0.29333,0.29333,0.28
nef_05_Ra,102,0.4,0.45333,0.01333,0.2,0.2,0.22667
nef_05_Ra,103,0.41333,0.48,0.02667,0.24,0.22667,0.21333
nef_05_Ra,104,0.4,0.52,0.05333,0.25333,0.25333,0.25333
nef_05_Ra,105,0.38667,0.46667,0.05333,0.25333,0.26667,0.24
nef_05_Ra,106,0.41333,0.54667,0.06667,0.24,0.24,0.21333
nef_05_Ra,107,0.41333,0.50667,0.06667,0.21333,0.21333,0.2
nef_05_Ra,108,0.41333,0.50667,0.09333,0.33333,0.33333,0.32
nef_05_Ra,109,0.37333,0.52,0.01333,0.25333,0.24,0.2
nef_05_Ra,110,0.4,0.48,0.05333,0.17333,0.17333,0.2
nef_05_Ra,111,0.42667,0.44,0.02667,0.22667,0.21333,0.17333
