,,,index,Method,score
auc_roc,ml_lr,0,0,chi_1,0.52846
auc_roc,ml_lr,1,1,chi_1,0.47999
auc_roc,ml_lr,2,2,chi_1,0.52678
auc_roc,ml_lr,3,3,chi_1,0.5323
auc_roc,ml_lr,4,4,chi_1,0.53196
auc_roc,ml_lr,5,5,chi_1,0.51834
auc_roc,ml_lr,6,6,chi_1,0.49553
auc_roc,ml_lr,7,7,chi_1,0.57498
auc_roc,ml_lr,8,8,chi_1,0.56837
auc_roc,ml_lr,9,9,chi_1,0.51555
auc_roc,ml_lr,10,10,chi_1,0.53186
auc_roc,ml_lr,11,11,chi_1,0.55487
auc_roc,ml_lr,12,12,chi_1,0.49952
auc_roc,ml_lr,13,13,chi_1,0.54611
auc_roc,ml_lr,14,14,chi_1,0.5243
auc_roc,ml_lr,15,15,chi_1,0.54656
auc_roc,ml_lr,16,16,chi_1,0.53265
auc_roc,ml_lr,17,17,chi_1,0.49164
auc_roc,ml_lr,18,18,chi_1,0.52009
auc_roc,ml_lr,19,19,chi_1,0.54047
auc_roc,ml_lr,20,20,chi_1,0.53609
auc_roc,ml_lr,21,21,chi_1,0.50371
auc_roc,ml_lr,22,22,chi_1,0.54718
auc_roc,ml_lr,23,23,chi_1,0.55087
auc_roc,ml_lr,24,24,chi_1,0.56073
auc_roc,ml_lr,25,25,chi_1,0.53435
auc_roc,ml_lr,26,26,chi_1,0.51725
auc_roc,ml_lr,27,27,chi_1,0.5342
auc_roc,ml_lr,28,28,chi_1,0.51563
auc_roc,ml_lr,29,29,chi_1,0.47049
auc_roc,ml_lr,30,30,chi_1,0.49329
auc_roc,ml_lr,31,31,chi_1,0.50636
auc_roc,ml_lr,32,32,chi_1,0.52512
auc_roc,ml_lr,33,33,chi_1,0.47311
auc_roc,ml_lr,34,34,chi_1,0.49767
auc_roc,ml_lr,35,35,chi_1,0.53155
auc_roc,ml_lr,36,36,chi_1,0.49501
auc_roc,ml_lr,37,37,chi_1,0.52718
auc_roc,ml_lr,38,38,chi_1,0.57438
auc_roc,ml_lr,39,39,chi_1,0.59522
auc_roc,ml_lr,40,40,chi_1,0.47437
auc_roc,ml_lr,41,41,chi_1,0.48499
auc_roc,ml_lr,42,42,chi_1,0.48858
auc_roc,ml_lr,43,43,chi_1,0.51584
auc_roc,ml_lr,44,44,chi_1,0.56602
auc_roc,ml_lr,45,45,chi_1,0.57046
auc_roc,ml_lr,46,46,chi_1,0.48764
auc_roc,ml_lr,47,47,chi_1,0.57107
auc_roc,ml_lr,48,48,chi_1,0.54297
auc_roc,ml_lr,49,49,chi_1,0.54297
auc_roc,ml_lr,50,50,chi_1,0.52678
auc_roc,ml_lr,51,51,chi_1,0.55098
auc_roc,ml_lr,52,52,chi_1,0.47943
auc_roc,ml_lr,53,53,chi_1,0.51037
auc_roc,ml_lr,54,54,chi_1,0.54859
auc_roc,ml_lr,55,55,chi_1,0.50911
auc_roc,ml_lr,56,56,chi_1,0.54054
auc_roc,ml_lr,57,57,chi_1,0.53329
auc_roc,ml_lr,58,58,chi_1,0.55597
auc_roc,ml_lr,59,59,chi_1,0.56105
auc_roc,ml_lr,60,60,chi_1,0.54464
auc_roc,ml_lr,61,61,chi_1,0.52769
auc_roc,ml_lr,62,62,chi_1,0.54992
auc_roc,ml_lr,63,63,chi_1,0.52809
auc_roc,ml_lr,64,64,chi_1,0.53326
auc_roc,ml_lr,65,65,chi_1,0.56782
auc_roc,ml_lr,66,66,chi_1,0.53605
auc_roc,ml_lr,67,67,chi_1,0.53837
auc_roc,ml_lr,68,68,chi_1,0.50407
auc_roc,ml_lr,69,69,chi_1,0.51839
auc_roc,ml_lr,70,70,chi_1,0.5265
auc_roc,ml_lr,71,71,chi_1,0.59773
auc_roc,ml_lr,72,72,chi_1,0.45099
auc_roc,ml_lr,73,73,chi_1,0.52338
auc_roc,ml_lr,74,74,chi_1,0.49353
auc_roc,ml_lr,75,75,chi_1,0.49944
auc_roc,ml_lr,76,76,chi_1,0.46069
auc_roc,ml_lr,77,77,chi_1,0.54176
auc_roc,ml_lr,78,78,chi_1,0.55109
auc_roc,ml_lr,79,79,chi_1,0.51268
auc_roc,ml_lr,80,80,chi_1,0.50868
auc_roc,ml_lr,81,81,chi_1,0.51962
auc_roc,ml_lr,82,82,chi_1,0.46145
auc_roc,ml_lr,83,83,chi_1,0.51268
auc_roc,ml_lr,84,84,chi_1,0.56225
auc_roc,ml_lr,85,85,chi_1,0.55143
auc_roc,ml_lr,86,86,chi_1,0.52155
auc_roc,ml_lr,87,87,chi_1,0.54817
auc_roc,ml_lr,88,88,chi_1,0.55736
auc_roc,ml_lr,89,89,chi_1,0.51072
auc_roc,ml_lr,90,90,chi_1,0.52301
auc_roc,ml_lr,91,91,chi_1,0.55029
auc_roc,ml_lr,92,92,chi_1,0.5458
auc_roc,ml_lr,93,93,chi_1,0.55762
auc_roc,ml_lr,94,94,chi_1,0.5477
auc_roc,ml_lr,95,95,chi_1,0.5067
auc_roc,ml_lr,96,96,chi_1,0.53356
auc_roc,ml_lr,97,97,chi_1,0.54104
auc_roc,ml_lr,98,98,chi_1,0.4868
auc_roc,ml_lr,99,99,chi_1,0.51714
auc_roc,ml_lr,100,100,chi_1,0.54213
auc_roc,ml_lr,101,101,chi_1,0.56945
auc_roc,ml_lr,102,102,chi_1,0.53599
auc_roc,ml_lr,103,103,chi_1,0.51433
auc_roc,ml_lr,104,104,chi_1,0.52673
auc_roc,ml_lr,105,105,chi_1,0.51837
auc_roc,ml_lr,106,106,chi_1,0.51019
auc_roc,ml_lr,107,107,chi_1,0.52911
auc_roc,ml_lr,108,108,chi_1,0.53353
