,,,index,Method,score
auc_roc,ml_lr,0,0,chi_1,0.47085
auc_roc,ml_lr,1,1,chi_1,0.46884
auc_roc,ml_lr,2,2,chi_1,0.51064
auc_roc,ml_lr,3,3,chi_1,0.5009
auc_roc,ml_lr,4,4,chi_1,0.5355
auc_roc,ml_lr,5,5,chi_1,0.50719
auc_roc,ml_lr,6,6,chi_1,0.5204
auc_roc,ml_lr,7,7,chi_1,0.46485
auc_roc,ml_lr,8,8,chi_1,0.47847
auc_roc,ml_lr,9,9,chi_1,0.48711
auc_roc,ml_lr,10,10,chi_1,0.45386
auc_roc,ml_lr,11,11,chi_1,0.48788
auc_roc,ml_lr,12,12,chi_1,0.50459
auc_roc,ml_lr,13,13,chi_1,0.47966
auc_roc,ml_lr,14,14,chi_1,0.5163
auc_roc,ml_lr,15,15,chi_1,0.49938
auc_roc,ml_lr,16,16,chi_1,0.50459
auc_roc,ml_lr,17,17,chi_1,0.48611
auc_roc,ml_lr,18,18,chi_1,0.47122
auc_roc,ml_lr,19,19,chi_1,0.4711
auc_roc,ml_lr,20,20,chi_1,0.53971
auc_roc,ml_lr,21,21,chi_1,0.49795
auc_roc,ml_lr,22,22,chi_1,0.49363
auc_roc,ml_lr,23,23,chi_1,0.51274
auc_roc,ml_lr,24,24,chi_1,0.44452
auc_roc,ml_lr,25,25,chi_1,0.466
auc_roc,ml_lr,26,26,chi_1,0.48319
auc_roc,ml_lr,27,27,chi_1,0.45229
auc_roc,ml_lr,28,28,chi_1,0.50072
auc_roc,ml_lr,29,29,chi_1,0.51461
auc_roc,ml_lr,30,30,chi_1,0.49831
auc_roc,ml_lr,31,31,chi_1,0.47115
auc_roc,ml_lr,32,32,chi_1,0.49448
auc_roc,ml_lr,33,33,chi_1,0.48421
auc_roc,ml_lr,34,34,chi_1,0.45742
auc_roc,ml_lr,35,35,chi_1,0.53256
auc_roc,ml_lr,36,36,chi_1,0.5358
auc_roc,ml_lr,37,37,chi_1,0.58496
auc_roc,ml_lr,38,38,chi_1,0.4959
auc_roc,ml_lr,39,39,chi_1,0.48965
auc_roc,ml_lr,40,40,chi_1,0.47955
auc_roc,ml_lr,41,41,chi_1,0.49883
auc_roc,ml_lr,42,42,chi_1,0.47008
auc_roc,ml_lr,43,43,chi_1,0.54788
auc_roc,ml_lr,44,44,chi_1,0.48371
auc_roc,ml_lr,45,45,chi_1,0.50867
auc_roc,ml_lr,46,46,chi_1,0.47103
auc_roc,ml_lr,47,47,chi_1,0.5018
auc_roc,ml_lr,48,48,chi_1,0.48359
auc_roc,ml_lr,49,49,chi_1,0.47787
auc_roc,ml_lr,50,50,chi_1,0.49238
auc_roc,ml_lr,51,51,chi_1,0.41587
auc_roc,ml_lr,52,52,chi_1,0.44414
auc_roc,ml_lr,53,53,chi_1,0.50667
auc_roc,ml_lr,54,54,chi_1,0.52105
auc_roc,ml_lr,55,55,chi_1,0.51272
auc_roc,ml_lr,56,56,chi_1,0.56619
auc_roc,ml_lr,57,57,chi_1,0.56378
auc_roc,ml_lr,58,58,chi_1,0.50341
auc_roc,ml_lr,59,59,chi_1,0.51647
auc_roc,ml_lr,60,60,chi_1,0.421
auc_roc,ml_lr,61,61,chi_1,0.47059
auc_roc,ml_lr,62,62,chi_1,0.47007
auc_roc,ml_lr,63,63,chi_1,0.4892
auc_roc,ml_lr,64,64,chi_1,0.45251
auc_roc,ml_lr,65,65,chi_1,0.51474
auc_roc,ml_lr,66,66,chi_1,0.48628
auc_roc,ml_lr,67,67,chi_1,0.51173
auc_roc,ml_lr,68,68,chi_1,0.57572
auc_roc,ml_lr,69,69,chi_1,0.48957
auc_roc,ml_lr,70,70,chi_1,0.54458
auc_roc,ml_lr,71,71,chi_1,0.51675
auc_roc,ml_lr,72,72,chi_1,0.42656
auc_roc,ml_lr,73,73,chi_1,0.51098
auc_roc,ml_lr,74,74,chi_1,0.5311
auc_roc,ml_lr,75,75,chi_1,0.49125
auc_roc,ml_lr,76,76,chi_1,0.54136
auc_roc,ml_lr,77,77,chi_1,0.54024
auc_roc,ml_lr,78,78,chi_1,0.49834
auc_roc,ml_lr,79,79,chi_1,0.5142
auc_roc,ml_lr,80,80,chi_1,0.49526
auc_roc,ml_lr,81,81,chi_1,0.45415
auc_roc,ml_lr,82,82,chi_1,0.55175
auc_roc,ml_lr,83,83,chi_1,0.47215
auc_roc,ml_lr,84,84,chi_1,0.47934
auc_roc,ml_lr,85,85,chi_1,0.55853
auc_roc,ml_lr,86,86,chi_1,0.51918
auc_roc,ml_lr,87,87,chi_1,0.53933
auc_roc,ml_lr,88,88,chi_1,0.47686
auc_roc,ml_lr,89,89,chi_1,0.50956
auc_roc,ml_lr,90,90,chi_1,0.50864
auc_roc,ml_lr,91,91,chi_1,0.5049
auc_roc,ml_lr,92,92,chi_1,0.50454
auc_roc,ml_lr,93,93,chi_1,0.55112
auc_roc,ml_lr,94,94,chi_1,0.5149
auc_roc,ml_lr,95,95,chi_1,0.52624
auc_roc,ml_lr,96,96,chi_1,0.52781
auc_roc,ml_lr,97,97,chi_1,0.44092
auc_roc,ml_lr,98,98,chi_1,0.48835
auc_roc,ml_lr,99,99,chi_1,0.45657
auc_roc,ml_lr,100,100,chi_1,0.44208
auc_roc,ml_lr,101,101,chi_1,0.49649
auc_roc,ml_lr,102,102,chi_1,0.51257
auc_roc,ml_lr,103,103,chi_1,0.44419
auc_roc,ml_lr,104,104,chi_1,0.5596
auc_roc,ml_lr,105,105,chi_1,0.52536
auc_roc,ml_lr,106,106,chi_1,0.54383
auc_roc,ml_lr,107,107,chi_1,0.48087
auc_roc,ml_lr,108,108,chi_1,0.51666
auc_roc,ml_lr,109,109,chi_1,0.5165
auc_roc,ml_lr,110,110,chi_1,0.45395
auc_roc,ml_lr,111,111,chi_1,0.46005
