,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,0,0.58654,0.68269,0.15385,0.32692,0.32692,0.18269
nef_Ra,1,0.54808,0.65385,0.08654,0.33654,0.33654,0.21154
nef_Ra,2,0.56731,0.58654,0.125,0.28846,0.28846,0.22115
nef_Ra,3,0.58252,0.64078,0.1165,0.38835,0.38835,0.2233
nef_Ra,4,0.58654,0.66346,0.05769,0.26923,0.26923,0.18269
nef_Ra,5,0.55769,0.55769,0.08654,0.27885,0.27885,0.13462
nef_Ra,6,0.51923,0.66346,0.13462,0.40385,0.40385,0.26923
nef_Ra,7,0.60194,0.6699,0.13592,0.32039,0.32039,0.23301
nef_Ra,8,0.56731,0.64423,0.125,0.34615,0.34615,0.18269
nef_Ra,9,0.57692,0.61538,0.16346,0.375,0.375,0.20192
nef_Ra,10,0.59615,0.66346,0.08654,0.31731,0.31731,0.23077
nef_Ra,11,0.59223,0.56311,0.04854,0.29126,0.29126,0.19417
nef_Ra,12,0.53846,0.58654,0.07692,0.29808,0.30769,0.16346
nef_Ra,13,0.59615,0.70192,0.125,0.35577,0.34615,0.25
nef_Ra,14,0.61538,0.65385,0.15385,0.35577,0.36538,0.23077
nef_Ra,15,0.53398,0.66019,0.13592,0.31068,0.31068,0.19417
nef_Ra,16,0.59615,0.65385,0.10577,0.33654,0.32692,0.22115
nef_Ra,17,0.55769,0.61538,0.125,0.32692,0.32692,0.25
nef_Ra,18,0.53846,0.64423,0.17308,0.34615,0.35577,0.16346
nef_Ra,19,0.61165,0.61165,0.1165,0.33981,0.33981,0.20388
nef_Ra,20,0.55769,0.60577,0.08654,0.39423,0.39423,0.25
nef_Ra,21,0.57692,0.64423,0.13462,0.29808,0.29808,0.17308
nef_Ra,22,0.55769,0.68269,0.10577,0.35577,0.35577,0.21154
nef_Ra,23,0.56311,0.60194,0.06796,0.29126,0.29126,0.20388
nef_Ra,24,0.625,0.64423,0.11538,0.375,0.375,0.25962
nef_Ra,25,0.5,0.58654,0.17308,0.25962,0.25962,0.16346
nef_Ra,26,0.58654,0.69231,0.16346,0.42308,0.42308,0.23077
nef_Ra,27,0.56311,0.58252,0.06796,0.28155,0.28155,0.16505
nef_Ra,28,0.50962,0.69231,0.13462,0.34615,0.34615,0.25
nef_Ra,29,0.55769,0.60577,0.06731,0.31731,0.32692,0.17308
nef_Ra,30,0.63462,0.63462,0.08654,0.29808,0.29808,0.16346
nef_Ra,31,0.56311,0.61165,0.09709,0.36893,0.36893,0.25243
nef_Ra,32,0.54808,0.54808,0.16346,0.27885,0.27885,0.18269
nef_Ra,33,0.625,0.66346,0.10577,0.375,0.375,0.21154
nef_Ra,34,0.53846,0.61538,0.10577,0.29808,0.29808,0.19231
nef_Ra,35,0.63107,0.67961,0.13592,0.36893,0.36893,0.2233
nef_Ra,36,0.55769,0.65385,0.11538,0.375,0.375,0.25
nef_Ra,37,0.52885,0.58654,0.125,0.33654,0.33654,0.18269
