,chi,metric,val_idx,vs_method,score
0,chi_1,nef,0,LR,0.17308
1,chi_1,nef,1,LR,0.20192
2,chi_1,nef,2,LR,0.13592
3,chi_1,nef,3,LR,0.14423
4,chi_1,nef,4,LR,0.15385
5,chi_1,nef,5,LR,0.14423
6,chi_1,nef,6,LR,0.15534
7,chi_1,nef,7,LR,0.125
8,chi_1,nef,8,LR,0.11538
9,chi_1,nef,9,LR,0.15385
10,chi_1,nef,10,LR,0.08738
11,chi_1,nef,11,LR,0.125
12,chi_1,nef,12,LR,0.11538
13,chi_1,nef,13,LR,0.10577
14,chi_1,nef,14,LR,0.14563
15,chi_1,nef,15,LR,0.19231
16,chi_1,nef,16,LR,0.17308
17,chi_1,nef,17,LR,0.14423
18,chi_1,nef,18,LR,0.05825
19,chi_1,nef,19,LR,0.13462
20,chi_1,nef,20,LR,0.19231
21,chi_1,nef,21,LR,0.125
22,chi_1,nef,22,LR,0.14563
23,chi_1,nef,23,LR,0.14423
24,chi_1,nef,24,LR,0.18269
25,chi_1,nef,25,LR,0.20192
26,chi_1,nef,26,LR,0.18447
27,chi_1,nef,27,LR,0.10577
28,chi_1,nef,28,LR,0.09615
29,chi_1,nef,29,LR,0.09615
30,chi_1,nef,30,LR,0.13592
31,chi_1,nef,31,LR,0.06731
32,chi_1,nef,32,LR,0.13462
33,chi_1,nef,33,LR,0.125
34,chi_1,nef,34,LR,0.08738
35,chi_1,nef,35,LR,0.125
36,chi_1,nef,36,LR,0.13462
37,chi_1,nef,37,LR,0.14423
38,chi_1,nef,38,LR,0.14563
39,chi_1,nef,39,LR,0.15385
40,chi_1,nef,40,LR,0.125
41,chi_1,nef,41,LR,0.13462
42,chi_1,nef,42,LR,0.1165
43,chi_1,nef,43,LR,0.10577
44,chi_1,nef,44,LR,0.17308
45,chi_1,nef,45,LR,0.10577
46,chi_1,nef,46,LR,0.14563
47,chi_1,nef,47,LR,0.16346
48,chi_1,nef,48,LR,0.15385
49,chi_1,nef,49,LR,0.14423
50,chi_1,nef,50,LR,0.08738
51,chi_1,nef,51,LR,0.14423
52,chi_1,nef,52,LR,0.16346
53,chi_1,nef,53,LR,0.13462
54,chi_1,nef,54,LR,0.09709
55,chi_1,nef,55,LR,0.14423
56,chi_1,nef,56,LR,0.10577
57,chi_1,nef,57,LR,0.09615
58,chi_1,nef,58,LR,0.1068
59,chi_1,nef,59,LR,0.16346
60,chi_1,nef,60,LR,0.14423
61,chi_1,nef,61,LR,0.14423
62,chi_1,nef,62,LR,0.14563
63,chi_1,nef,63,LR,0.11538
64,chi_1,nef,64,LR,0.19231
65,chi_1,nef,65,LR,0.19231
66,chi_1,nef,66,LR,0.14563
67,chi_1,nef,67,LR,0.10577
68,chi_1,nef,68,LR,0.07692
69,chi_1,nef,69,LR,0.13462
70,chi_1,nef,70,LR,0.16505
