,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,0,0.60544,0.70748,0.03401,0.18367,0.17687,0.13605
nef_Ra,1,0.60959,0.68493,0.05479,0.21233,0.20548,0.16438
nef_Ra,2,0.60959,0.73973,0.0411,0.17808,0.17808,0.13699
nef_Ra,3,0.63014,0.71233,0.04795,0.24658,0.24658,0.19178
nef_Ra,4,0.57823,0.72789,0.04082,0.16327,0.16327,0.14286
nef_Ra,5,0.60959,0.70548,0.05479,0.21918,0.21918,0.18493
nef_Ra,6,0.59589,0.75342,0.0137,0.23973,0.24658,0.15068
nef_Ra,7,0.61644,0.70548,0.0411,0.17808,0.17808,0.15753
nef_Ra,8,0.57823,0.70068,0.03401,0.18367,0.18367,0.14966
nef_Ra,9,0.55479,0.71233,0.03425,0.18493,0.18493,0.19178
nef_Ra,10,0.67808,0.78082,0.02055,0.21918,0.21918,0.12329
nef_Ra,11,0.56849,0.67808,0.03425,0.21233,0.21233,0.17808
nef_Ra,12,0.61905,0.70748,0.01361,0.21088,0.21769,0.15646
nef_Ra,13,0.59589,0.67808,0.04795,0.19863,0.20548,0.15753
nef_Ra,14,0.63699,0.69863,0.0411,0.21918,0.21918,0.16438
nef_Ra,15,0.58219,0.70548,0.0411,0.18493,0.17808,0.16438
nef_Ra,16,0.60544,0.70068,0.05442,0.2381,0.2381,0.17007
nef_Ra,17,0.66438,0.73973,0.05479,0.19178,0.19178,0.13699
nef_Ra,18,0.57534,0.71918,0.0274,0.19863,0.19863,0.17123
nef_Ra,19,0.61644,0.68493,0.03425,0.18493,0.19178,0.17123
nef_Ra,20,0.61905,0.72109,0.03401,0.17007,0.17007,0.16327
nef_Ra,21,0.58904,0.71918,0.02055,0.25342,0.25342,0.22603
nef_Ra,22,0.60274,0.68493,0.0274,0.19863,0.19863,0.10274
nef_Ra,23,0.60274,0.67123,0.02055,0.18493,0.18493,0.14384
nef_Ra,24,0.61905,0.71429,0.04762,0.2449,0.2449,0.19048
nef_Ra,25,0.54795,0.65068,0.0274,0.18493,0.18493,0.16438
nef_Ra,26,0.63014,0.71233,0.0274,0.21233,0.21233,0.13699
nef_Ra,27,0.63014,0.76027,0.0137,0.17123,0.17123,0.14384
nef_Ra,28,0.59184,0.69388,0.06122,0.21088,0.21088,0.17687
nef_Ra,29,0.58219,0.75342,0.04795,0.20548,0.20548,0.10959
nef_Ra,30,0.60959,0.72603,0.0274,0.18493,0.18493,0.15753
nef_Ra,31,0.60959,0.71918,0.0411,0.21918,0.21918,0.16438
nef_Ra,32,0.61224,0.64626,0.04082,0.20408,0.20408,0.15646
nef_Ra,33,0.58219,0.71918,0.00685,0.17808,0.17808,0.13699
nef_Ra,34,0.60274,0.71918,0.04795,0.23973,0.24658,0.18493
nef_Ra,35,0.59589,0.71233,0.03425,0.20548,0.20548,0.17123
nef_Ra,36,0.57823,0.63946,0.04762,0.21769,0.21769,0.12245
nef_Ra,37,0.56164,0.73288,0.0411,0.25342,0.25342,0.20548
nef_Ra,38,0.63014,0.71918,0.04795,0.17123,0.17123,0.13014
nef_Ra,39,0.66438,0.73973,0.05479,0.17123,0.17123,0.18493
nef_Ra,40,0.57143,0.65986,0.06122,0.15646,0.15646,0.10204
nef_Ra,41,0.61644,0.76027,0.0274,0.17808,0.17808,0.17123
nef_Ra,42,0.59589,0.71233,0.03425,0.25342,0.26027,0.19178
nef_Ra,43,0.63014,0.73288,0.04795,0.22603,0.22603,0.17808
nef_Ra,44,0.57143,0.65306,0.04082,0.18367,0.18367,0.14966
nef_Ra,45,0.56849,0.66438,0.0274,0.15068,0.15068,0.12329
nef_Ra,46,0.63699,0.76027,0.0137,0.21918,0.21918,0.17123
nef_Ra,47,0.62329,0.74658,0.03425,0.26712,0.26712,0.20548
nef_Ra,48,0.61905,0.7483,0.02041,0.18367,0.18367,0.12245
nef_Ra,49,0.56849,0.69178,0.0137,0.19863,0.19863,0.14384
nef_Ra,50,0.61644,0.72603,0.0411,0.21233,0.21233,0.16438
nef_Ra,51,0.62329,0.74658,0.0274,0.21918,0.21918,0.19863
nef_Ra,52,0.58503,0.72789,0.05442,0.2449,0.2517,0.17687
nef_Ra,53,0.60959,0.75342,0.03425,0.18493,0.18493,0.12329
nef_Ra,54,0.63014,0.73973,0.04795,0.20548,0.20548,0.15753
nef_Ra,55,0.58904,0.66438,0.0137,0.17123,0.17123,0.17123
nef_Ra,56,0.60544,0.70748,0.01361,0.20408,0.20408,0.13605
nef_Ra,57,0.63699,0.77397,0.0274,0.21233,0.21233,0.16438
nef_Ra,58,0.60274,0.73973,0.03425,0.19178,0.19178,0.13699
nef_Ra,59,0.54795,0.72603,0.0137,0.22603,0.22603,0.20548
nef_Ra,60,0.58503,0.68707,0.02721,0.23129,0.2381,0.19048
nef_Ra,61,0.60959,0.72603,0.0137,0.19863,0.19863,0.15068
nef_Ra,62,0.60959,0.70548,0.06849,0.19178,0.18493,0.13014
nef_Ra,63,0.61644,0.72603,0.05479,0.19863,0.20548,0.16438
nef_Ra,64,0.54422,0.65306,0.04762,0.18367,0.19048,0.14286
nef_Ra,65,0.60959,0.72603,0.0137,0.19863,0.19863,0.14384
nef_Ra,66,0.60274,0.71918,0.02055,0.21918,0.21918,0.17123
nef_Ra,67,0.60274,0.73288,0.07534,0.21233,0.21918,0.18493
nef_Ra,68,0.59184,0.70748,0.02721,0.19048,0.19048,0.15646
nef_Ra,69,0.58904,0.71918,0.04795,0.19178,0.19178,0.16438
nef_Ra,70,0.57534,0.73288,0.02055,0.19863,0.19863,0.15068
nef_Ra,71,0.68493,0.74658,0.06164,0.23973,0.23973,0.15753
nef_Ra,72,0.59864,0.70748,0.03401,0.16327,0.16327,0.14286
