,chi,metric,val_idx,vs_method,score
0,chi_1,nef,0,LR,0.0274
1,chi_1,nef,1,LR,0.04082
2,chi_1,nef,2,LR,0.0411
3,chi_1,nef,3,LR,0.04795
4,chi_1,nef,4,LR,0.03425
5,chi_1,nef,5,LR,0.04762
6,chi_1,nef,6,LR,0.03425
7,chi_1,nef,7,LR,0.03425
8,chi_1,nef,8,LR,0.05479
9,chi_1,nef,9,LR,0.04762
10,chi_1,nef,10,LR,0.0274
11,chi_1,nef,11,LR,0.0274
12,chi_1,nef,12,LR,0.0274
13,chi_1,nef,13,LR,0.04762
14,chi_1,nef,14,LR,0.02055
15,chi_1,nef,15,LR,0.0274
16,chi_1,nef,16,LR,0.0274
17,chi_1,nef,17,LR,0.05442
18,chi_1,nef,18,LR,0.0274
19,chi_1,nef,19,LR,0.0411
20,chi_1,nef,20,LR,0.03425
21,chi_1,nef,21,LR,0.05442
22,chi_1,nef,22,LR,0.06849
23,chi_1,nef,23,LR,0.05479
24,chi_1,nef,24,LR,0.06849
25,chi_1,nef,25,LR,0.04082
26,chi_1,nef,26,LR,0.03425
27,chi_1,nef,27,LR,0.0274
28,chi_1,nef,28,LR,0.04795
29,chi_1,nef,29,LR,0.03401
30,chi_1,nef,30,LR,0.03425
31,chi_1,nef,31,LR,0.0411
32,chi_1,nef,32,LR,0.05479
33,chi_1,nef,33,LR,0.04082
34,chi_1,nef,34,LR,0.0411
35,chi_1,nef,35,LR,0.05479
36,chi_1,nef,36,LR,0.04795
37,chi_1,nef,37,LR,0.02721
38,chi_1,nef,38,LR,0.04795
39,chi_1,nef,39,LR,0.05479
40,chi_1,nef,40,LR,0.03425
41,chi_1,nef,41,LR,0.02041
42,chi_1,nef,42,LR,0.0411
43,chi_1,nef,43,LR,0.02055
44,chi_1,nef,44,LR,0.04795
45,chi_1,nef,45,LR,0.01361
46,chi_1,nef,46,LR,0.02055
47,chi_1,nef,47,LR,0.0411
48,chi_1,nef,48,LR,0.03425
49,chi_1,nef,49,LR,0.04082
50,chi_1,nef,50,LR,0.03425
51,chi_1,nef,51,LR,0.02055
52,chi_1,nef,52,LR,0.03425
53,chi_1,nef,53,LR,0.06803
54,chi_1,nef,54,LR,0.03425
55,chi_1,nef,55,LR,0.04795
56,chi_1,nef,56,LR,0.0411
57,chi_1,nef,57,LR,0.0068
58,chi_1,nef,58,LR,0.02055
59,chi_1,nef,59,LR,0.0137
60,chi_1,nef,60,LR,0.0274
61,chi_1,nef,61,LR,0.06122
62,chi_1,nef,62,LR,0.0137
63,chi_1,nef,63,LR,0.04795
64,chi_1,nef,64,LR,0.03425
65,chi_1,nef,65,LR,0.04082
66,chi_1,nef,66,LR,0.05479
67,chi_1,nef,67,LR,0.0411
68,chi_1,nef,68,LR,0.05479
69,chi_1,nef,69,LR,0.02041
70,chi_1,nef,70,LR,0.04795
71,chi_1,nef,71,LR,0.03425
72,chi_1,nef,72,LR,0.06164
73,chi_1,nef,73,LR,0.06803
74,chi_1,nef,74,LR,0.05479
75,chi_1,nef,75,LR,0.04795
76,chi_1,nef,76,LR,0.07534
77,chi_1,nef,77,LR,0.04082
78,chi_1,nef,78,LR,0.0274
79,chi_1,nef,79,LR,0.0411
80,chi_1,nef,80,LR,0.05479
81,chi_1,nef,81,LR,0.03401
82,chi_1,nef,82,LR,0.03425
83,chi_1,nef,83,LR,0.06164
84,chi_1,nef,84,LR,0.05479
85,chi_1,nef,85,LR,0.04762
86,chi_1,nef,86,LR,0.03425
87,chi_1,nef,87,LR,0.03425
88,chi_1,nef,88,LR,0.04795
89,chi_1,nef,89,LR,0.04762
90,chi_1,nef,90,LR,0.03425
91,chi_1,nef,91,LR,0.04795
92,chi_1,nef,92,LR,0.0274
93,chi_1,nef,93,LR,0.01361
94,chi_1,nef,94,LR,0.02055
95,chi_1,nef,95,LR,0.03425
96,chi_1,nef,96,LR,0.03425
97,chi_1,nef,97,LR,0.03401
98,chi_1,nef,98,LR,0.0411
99,chi_1,nef,99,LR,0.0274
100,chi_1,nef,100,LR,0.03425
101,chi_1,nef,101,LR,0.02721
102,chi_1,nef,102,LR,0.0411
103,chi_1,nef,103,LR,0.0137
104,chi_1,nef,104,LR,0.03425
105,chi_1,nef,105,LR,0.03401
106,chi_1,nef,106,LR,0.05479
107,chi_1,nef,107,LR,0.0274
108,chi_1,nef,108,LR,0.03425
109,chi_1,nef,109,LR,0.04082
110,chi_1,nef,110,LR,0.07534
111,chi_1,nef,111,LR,0.02055
112,chi_1,nef,112,LR,0.06849
113,chi_1,nef,113,LR,0.04762
114,chi_1,nef,114,LR,0.05479
115,chi_1,nef,115,LR,0.00685
116,chi_1,nef,116,LR,0.02055
117,chi_1,nef,117,LR,0.02721
118,chi_1,nef,118,LR,0.00685
119,chi_1,nef,119,LR,0.0274
120,chi_1,roc_auc,0,LR,0.4895
121,chi_1,roc_auc,1,LR,0.487
122,chi_1,roc_auc,2,LR,0.52163
123,chi_1,roc_auc,3,LR,0.46721
124,chi_1,roc_auc,4,LR,0.54193
125,chi_1,roc_auc,5,LR,0.45858
126,chi_1,roc_auc,6,LR,0.5004
127,chi_1,roc_auc,7,LR,0.50447
128,chi_1,roc_auc,8,LR,0.52962
129,chi_1,roc_auc,9,LR,0.54662
130,chi_1,roc_auc,10,LR,0.50061
131,chi_1,roc_auc,11,LR,0.49036
