,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,0,0.41333,0.50667,0.04,0.28,0.26667,0.26667
nef_Ra,1,0.46667,0.53333,0.08,0.28,0.28,0.21333
nef_Ra,2,0.44,0.54667,0.05333,0.2,0.2,0.22667
nef_Ra,3,0.38667,0.42667,0.04,0.22667,0.22667,0.18667
nef_Ra,4,0.45333,0.6,0.05333,0.25333,0.25333,0.2
nef_Ra,5,0.44,0.50667,0.09333,0.24,0.24,0.26667
nef_Ra,6,0.34667,0.49333,0.06667,0.24,0.24,0.2
nef_Ra,7,0.37333,0.41333,0.04,0.24,0.24,0.21333
nef_Ra,8,0.34667,0.44,0.01333,0.21333,0.21333,0.2
nef_Ra,9,0.41333,0.53333,0.01333,0.22667,0.22667,0.24
nef_Ra,10,0.46667,0.54667,0.02667,0.34667,0.34667,0.28
nef_Ra,11,0.45333,0.45333,0.06667,0.17333,0.17333,0.16
nef_Ra,12,0.45333,0.56,0.04,0.26667,0.26667,0.25333
nef_Ra,13,0.45333,0.48,0.01333,0.33333,0.33333,0.25333
nef_Ra,14,0.37333,0.48,0.05333,0.14667,0.14667,0.17333
nef_Ra,15,0.38667,0.46667,0.06667,0.21333,0.21333,0.22667
nef_Ra,16,0.36,0.48,0.04,0.24,0.24,0.21333
nef_Ra,17,0.44,0.46667,0.04,0.24,0.24,0.21333
nef_Ra,18,0.46667,0.49333,0.02667,0.32,0.30667,0.26667
nef_Ra,19,0.41333,0.44,0.01333,0.2,0.18667,0.21333
nef_Ra,20,0.37333,0.48,0.05333,0.25333,0.25333,0.21333
nef_Ra,21,0.45333,0.46667,0.02667,0.25333,0.26667,0.24
nef_Ra,22,0.4,0.49333,0.04,0.2,0.2,0.21333
nef_Ra,23,0.45333,0.49333,0.04,0.26667,0.26667,0.24
nef_Ra,24,0.42667,0.44,0.04,0.24,0.24,0.16
nef_Ra,25,0.45333,0.52,0.05333,0.26667,0.25333,0.25333
nef_Ra,26,0.41333,0.50667,0.04,0.28,0.28,0.24
nef_Ra,27,0.38667,0.42667,0.05333,0.21333,0.21333,0.22667
nef_Ra,28,0.33333,0.45333,0.06667,0.21333,0.21333,0.18667
nef_Ra,29,0.45333,0.48,0.04,0.29333,0.28,0.28
nef_Ra,30,0.48,0.58667,0.01333,0.34667,0.34667,0.29333
nef_Ra,31,0.42667,0.42667,0.04,0.14667,0.13333,0.13333
nef_Ra,32,0.41333,0.45333,0.01333,0.26667,0.25333,0.2
nef_Ra,33,0.41333,0.52,0.04,0.24,0.24,0.24
nef_Ra,34,0.42667,0.48,0.04,0.21333,0.21333,0.21333
nef_Ra,35,0.38667,0.48,0.02667,0.25333,0.25333,0.25333
nef_Ra,36,0.42667,0.46667,0.06667,0.22667,0.24,0.22667
nef_Ra,37,0.45333,0.52,0.02667,0.2,0.2,0.18667
nef_Ra,38,0.4,0.49333,0.0,0.29333,0.28,0.22667
nef_Ra,39,0.4,0.46667,0.01333,0.26667,0.26667,0.26667
