,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,0,0.46875,0.57812,0.10938,0.21875,0.20312,0.23438
nef_Ra,1,0.45312,0.60938,0.07812,0.3125,0.3125,0.26562
nef_Ra,2,0.42188,0.54688,0.14062,0.21875,0.21875,0.21875
nef_Ra,3,0.51562,0.60938,0.14062,0.09375,0.10938,0.125
nef_Ra,4,0.46875,0.53125,0.0625,0.21875,0.20312,0.20312
nef_Ra,5,0.39062,0.53125,0.10938,0.20312,0.21875,0.23438
nef_Ra,6,0.375,0.5,0.03125,0.20312,0.1875,0.26562
nef_Ra,7,0.51562,0.53125,0.10938,0.17188,0.1875,0.1875
nef_Ra,8,0.42188,0.48438,0.09375,0.23438,0.23438,0.15625
nef_Ra,9,0.54688,0.54688,0.07812,0.23438,0.23438,0.29688
nef_Ra,10,0.46875,0.53125,0.09375,0.20312,0.20312,0.20312
nef_Ra,11,0.42188,0.53125,0.09375,0.1875,0.1875,0.20312
nef_Ra,12,0.45312,0.46875,0.125,0.14062,0.15625,0.1875
nef_Ra,13,0.42188,0.51562,0.10938,0.21875,0.20312,0.23438
nef_Ra,14,0.39062,0.45312,0.1875,0.28125,0.26562,0.25
nef_Ra,15,0.54688,0.48438,0.04688,0.21875,0.1875,0.1875
nef_Ra,16,0.42188,0.54688,0.125,0.23438,0.26562,0.1875
nef_Ra,17,0.4375,0.53125,0.10938,0.10938,0.125,0.14062
nef_Ra,18,0.48438,0.54688,0.04688,0.1875,0.1875,0.21875
nef_Ra,19,0.4375,0.51562,0.09375,0.26562,0.25,0.3125
nef_Ra,20,0.42188,0.5625,0.07812,0.20312,0.20312,0.20312
nef_Ra,21,0.51562,0.53125,0.09375,0.25,0.25,0.3125
nef_Ra,22,0.375,0.5,0.0625,0.07812,0.07812,0.15625
nef_Ra,23,0.4375,0.48438,0.0625,0.26562,0.29688,0.20312
nef_Ra,24,0.4375,0.45312,0.09375,0.23438,0.21875,0.28125
nef_Ra,25,0.46875,0.5,0.10938,0.14062,0.14062,0.14062
nef_Ra,26,0.45312,0.51562,0.09375,0.26562,0.26562,0.23438
nef_Ra,27,0.39062,0.51562,0.07812,0.21875,0.1875,0.23438
nef_Ra,28,0.51562,0.60938,0.17188,0.26562,0.23438,0.3125
nef_Ra,29,0.42188,0.45312,0.17188,0.15625,0.15625,0.09375
nef_Ra,30,0.4375,0.54688,0.125,0.23438,0.23438,0.23438
nef_Ra,31,0.45312,0.51562,0.14062,0.20312,0.20312,0.20312
nef_Ra,32,0.40625,0.54688,0.125,0.23438,0.25,0.29688
nef_Ra,33,0.46875,0.59375,0.0625,0.25,0.23438,0.17188
nef_Ra,34,0.4375,0.48438,0.14062,0.1875,0.17188,0.1875
nef_Ra,35,0.32812,0.5625,0.14062,0.15625,0.15625,0.21875
nef_Ra,36,0.48438,0.60938,0.07812,0.125,0.15625,0.14062
nef_Ra,37,0.48438,0.57812,0.07812,0.15625,0.15625,0.15625
