,chi,metric,val_idx,vs_method,score
0,chi_1,nef,0,LR,0.15942
1,chi_1,nef,1,LR,0.05797
2,chi_1,nef,2,LR,0.08696
3,chi_1,nef,3,LR,0.08571
4,chi_1,nef,4,LR,0.17391
5,chi_1,nef,5,LR,0.13043
6,chi_1,nef,6,LR,0.14493
7,chi_1,nef,7,LR,0.1
8,chi_1,nef,8,LR,0.13043
9,chi_1,nef,9,LR,0.10145
10,chi_1,nef,10,LR,0.17391
11,chi_1,nef,11,LR,0.12857
12,chi_1,nef,12,LR,0.08696
13,chi_1,nef,13,LR,0.08696
14,chi_1,nef,14,LR,0.13043
15,chi_1,nef,15,LR,0.08571
16,chi_1,nef,16,LR,0.13043
17,chi_1,nef,17,LR,0.08696
18,chi_1,nef,18,LR,0.13043
19,chi_1,nef,19,LR,0.12857
20,chi_1,nef,20,LR,0.08696
21,chi_1,nef,21,LR,0.11594
22,chi_1,nef,22,LR,0.11594
23,chi_1,nef,23,LR,0.07143
24,chi_1,nef,24,LR,0.13043
25,chi_1,nef,25,LR,0.14493
26,chi_1,nef,26,LR,0.11594
27,chi_1,nef,27,LR,0.14286
28,chi_1,nef,28,LR,0.15942
29,chi_1,nef,29,LR,0.18841
30,chi_1,nef,30,LR,0.10145
31,chi_1,nef,31,LR,0.07143
32,chi_1,nef,32,LR,0.18841
33,chi_1,nef,33,LR,0.05797
34,chi_1,nef,34,LR,0.13043
35,chi_1,nef,35,LR,0.08571
36,chi_1,nef,36,LR,0.11594
37,chi_1,nef,37,LR,0.11594
38,chi_1,nef,38,LR,0.10145
39,chi_1,nef,39,LR,0.04286
40,chi_1,nef,40,LR,0.10145
41,chi_1,nef,41,LR,0.10145
42,chi_1,nef,42,LR,0.08696
43,chi_1,nef,43,LR,0.04286
44,chi_1,nef,44,LR,0.14493
45,chi_1,nef,45,LR,0.17391
46,chi_1,nef,46,LR,0.2029
47,chi_1,nef,47,LR,0.1
48,chi_1,nef,48,LR,0.14493
49,chi_1,nef,49,LR,0.14493
50,chi_1,nef,50,LR,0.04348
51,chi_1,nef,51,LR,0.21429
52,chi_1,nef,52,LR,0.17391
53,chi_1,nef,53,LR,0.14493
54,chi_1,nef,54,LR,0.15942
55,chi_1,nef,55,LR,0.17143
56,chi_1,nef,56,LR,0.08696
57,chi_1,nef,57,LR,0.07246
58,chi_1,nef,58,LR,0.11594
59,chi_1,nef,59,LR,0.07143
60,chi_1,nef,60,LR,0.13043
61,chi_1,nef,61,LR,0.11594
62,chi_1,nef,62,LR,0.17391
63,chi_1,nef,63,LR,0.1
64,chi_1,nef,64,LR,0.15942
65,chi_1,nef,65,LR,0.15942
66,chi_1,nef,66,LR,0.13043
67,chi_1,nef,67,LR,0.1
68,chi_1,nef,68,LR,0.05797
69,chi_1,nef,69,LR,0.14493
70,chi_1,nef,70,LR,0.13043
71,chi_1,nef,71,LR,0.11429
72,chi_1,nef,72,LR,0.13043
73,chi_1,nef,73,LR,0.10145
74,chi_1,nef,74,LR,0.05797
75,chi_1,nef,75,LR,0.11429
76,chi_1,nef,76,LR,0.15942
77,chi_1,nef,77,LR,0.11594
78,chi_1,nef,78,LR,0.11594
79,chi_1,nef,79,LR,0.18571
80,chi_1,nef,80,LR,0.02899
81,chi_1,nef,81,LR,0.08696
82,chi_1,nef,82,LR,0.08696
83,chi_1,nef,83,LR,0.17143
84,chi_1,nef,84,LR,0.08696
85,chi_1,nef,85,LR,0.04348
86,chi_1,nef,86,LR,0.07246
87,chi_1,nef,87,LR,0.15714
88,chi_1,nef,88,LR,0.08696
89,chi_1,nef,89,LR,0.17391
90,chi_1,nef,90,LR,0.11594
91,chi_1,nef,91,LR,0.14286
92,chi_1,nef,92,LR,0.05797
93,chi_1,nef,93,LR,0.11594
94,chi_1,nef,94,LR,0.11594
95,chi_1,nef,95,LR,0.07143
96,chi_1,nef,96,LR,0.07246
97,chi_1,nef,97,LR,0.07246
98,chi_1,nef,98,LR,0.13043
99,chi_1,nef,99,LR,0.08571
100,chi_1,nef,100,LR,0.05797
101,chi_1,nef,101,LR,0.23188
102,chi_1,nef,102,LR,0.11594
103,chi_1,nef,103,LR,0.08571
104,chi_1,nef,104,LR,0.14493
105,chi_1,nef,105,LR,0.15942
106,chi_1,nef,106,LR,0.13043
107,chi_1,nef,107,LR,0.04286
108,chi_1,nef,108,LR,0.05797
109,chi_1,nef,109,LR,0.08696
110,chi_1,nef,110,LR,0.13043
111,chi_1,nef,111,LR,0.17143
112,chi_1,nef,112,LR,0.13043
113,chi_1,nef,113,LR,0.05797
114,chi_1,nef,114,LR,0.04348
115,chi_1,nef,115,LR,0.05714
116,chi_1,nef,116,LR,0.18841
117,chi_1,nef,117,LR,0.07246
118,chi_1,nef,118,LR,0.17391
119,chi_1,nef,119,LR,0.11429
120,chi_1,roc_auc,0,LR,0.54067
121,chi_1,roc_auc,1,LR,0.46741
122,chi_1,roc_auc,2,LR,0.55458
123,chi_1,roc_auc,3,LR,0.55593
124,chi_1,roc_auc,4,LR,0.55918
125,chi_1,roc_auc,5,LR,0.58322
126,chi_1,roc_auc,6,LR,0.55325
127,chi_1,roc_auc,7,LR,0.49073
128,chi_1,roc_auc,8,LR,0.52629
129,chi_1,roc_auc,9,LR,0.50443
130,chi_1,roc_auc,10,LR,0.56009
131,chi_1,roc_auc,11,LR,0.5276
132,chi_1,roc_auc,12,LR,0.52974
133,chi_1,roc_auc,13,LR,0.53969
134,chi_1,roc_auc,14,LR,0.56272
135,chi_1,roc_auc,15,LR,0.5255
136,chi_1,roc_auc,16,LR,0.52812
137,chi_1,roc_auc,17,LR,0.5249
138,chi_1,roc_auc,18,LR,0.49057
139,chi_1,roc_auc,19,LR,0.51368
140,chi_1,roc_auc,20,LR,0.48587
141,chi_1,roc_auc,21,LR,0.47316
142,chi_1,roc_auc,22,LR,0.52123
143,chi_1,roc_auc,23,LR,0.49438
144,chi_1,roc_auc,24,LR,0.52642
145,chi_1,roc_auc,25,LR,0.48166
146,chi_1,roc_auc,26,LR,0.50802
147,chi_1,roc_auc,27,LR,0.53049
148,chi_1,roc_auc,28,LR,0.51674
149,chi_1,roc_auc,29,LR,0.52748
150,chi_1,roc_auc,30,LR,0.57769
151,chi_1,roc_auc,31,LR,0.45712
152,chi_1,roc_auc,32,LR,0.50549
153,chi_1,roc_auc,33,LR,0.45268
154,chi_1,roc_auc,34,LR,0.53658
155,chi_1,roc_auc,35,LR,0.54924
156,chi_1,roc_auc,36,LR,0.46526
157,chi_1,roc_auc,37,LR,0.57062
158,chi_1,roc_auc,38,LR,0.4723
159,chi_1,roc_auc,39,LR,0.45215
160,chi_1,roc_auc,40,LR,0.46321
161,chi_1,roc_auc,41,LR,0.43646
162,chi_1,roc_auc,42,LR,0.46768
163,chi_1,roc_auc,43,LR,0.43377
164,chi_1,roc_auc,44,LR,0.4989
165,chi_1,roc_auc,45,LR,0.49097
166,chi_1,roc_auc,46,LR,0.53453
167,chi_1,roc_auc,47,LR,0.51904
168,chi_1,roc_auc,48,LR,0.53655
169,chi_1,roc_auc,49,LR,0.53618
170,chi_1,roc_auc,50,LR,0.50467
171,chi_1,roc_auc,51,LR,0.5536
172,chi_1,roc_auc,52,LR,0.5007
173,chi_1,roc_auc,53,LR,0.53363
174,chi_1,roc_auc,54,LR,0.55618
175,chi_1,roc_auc,55,LR,0.57232
176,chi_1,roc_auc,56,LR,0.46499
177,chi_1,roc_auc,57,LR,0.51233
178,chi_1,roc_auc,58,LR,0.47183
179,chi_1,roc_auc,59,LR,0.41817
180,chi_1,roc_auc,60,LR,0.51283
181,chi_1,roc_auc,61,LR,0.53799
182,chi_1,roc_auc,62,LR,0.56248
183,chi_1,roc_auc,63,LR,0.55804
184,chi_1,roc_auc,64,LR,0.50344
185,chi_1,roc_auc,65,LR,0.57301
186,chi_1,roc_auc,66,LR,0.52464
187,chi_1,roc_auc,67,LR,0.47408
188,chi_1,roc_auc,68,LR,0.46419
189,chi_1,roc_auc,69,LR,0.56431
190,chi_1,roc_auc,70,LR,0.48579
191,chi_1,roc_auc,71,LR,0.52072
192,chi_1,roc_auc,72,LR,0.52004
193,chi_1,roc_auc,73,LR,0.46643
194,chi_1,roc_auc,74,LR,0.51161
195,chi_1,roc_auc,75,LR,0.53894
196,chi_1,roc_auc,76,LR,0.56708
197,chi_1,roc_auc,77,LR,0.5211
